"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Velay A.; Gallais F.; Benotmane I.; Wendling M.J.; Danion F.; Collange O.; De Sèze J.; Schmidt-Mutter C.; Schneider F.; Bilbault P.; Meziani F.; Fafi-Kremer S.","Velay, Aurelie (36471298400); Gallais, Floriane (57195266536); Benotmane, Ilies (55207340600); Wendling, Marie Josée (6603913740); Danion, François (55309170000); Collange, Olivier (25623116100); De Sèze, Jérôme (35546681800); Schmidt-Mutter, Catherine (55760534000); Schneider, Francis (57201510091); Bilbault, Pascal (6602397598); Meziani, Ferhat (6507028168); Fafi-Kremer, Samira (57195326940)","36471298400; 57195266536; 55207340600; 6603913740; 55309170000; 25623116100; 35546681800; 55760534000; 57201510091; 6602397598; 6507028168; 57195326940","Evaluation of the performance of SARS-CoV-2 serological tools and their positioning in COVID-19 diagnostic strategies","2020","Diagnostic Microbiology and Infectious Disease","98","4","115181","","","24","10.1016/j.diagmicrobio.2020.115181","https://www.scopus.com/pages/publications/85091366899?origin=resultslist","Rapid and accurate diagnosis is crucial for successful outbreak containment. During the current coronavirus disease 2019 (COVID-19) public health emergency, the gold standard for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection diagnosis is the detection of viral RNA. Additional diagnostic methods õenabling the detection of current or past SARS-CoV-2 infection would be highly beneficial. We assessed 2 immunochromatographic lateral flow assays (LFA-1, LFA-2) and 2 enzyme-linked immunosorbent assay kits (IgA/IgG ELISA-1, IgM/IgG ELISA-2) using 325 samples: serum samples from polymerase chain reaction–confirmed COVID-19 hospitalized patients (n = 55) and healthcare workers (n = 143) and 127 samples from negative controls. Diagnostic performances were assessed according to days after symptom onset (dso) and the antigenic format used by manufacturers. Clinical sensitivities varied greatly among the assays, showing poor mutual agreement. After 15 dso, ELISA-1 (Euroimmun) and LFA-1 (Biosynex) combining IgM and IgG detection showed the best performances. A thorough selection of serological assays for the detection of ongoing or past infections is advisable. © 2020 Elsevier Inc.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85091366899"
"Wong C.K.; Ho D.T.Y.; Tam A.R.; Zhou M.; Lau Y.M.; Tang M.O.Y.; Tong R.C.F.; Rajput K.S.; Chen G.; Chan S.C.; Siu C.W.; Hung I.F.N.","Wong, Chun Ka (57192006871); Ho, Deborah Tip Yin (56970520000); Tam, Anthony Raymond (57212634851); Zhou, Mi (57218247394); Lau, Yuk Ming (56992207900); Tang, Milky Oi Yan (57217148181); Tong, Raymond Cheuk Fung (57218251060); Rajput, Kuldeep Singh (57203180099); Chen, Gengbo (57218253149); Chan, Soon Chee (57218248165); Siu, Chung Wah (7006550690); Hung, Ivan Fan Ngai (7006103457)","57192006871; 56970520000; 57212634851; 57218247394; 56992207900; 57217148181; 57218251060; 57203180099; 57218253149; 57218248165; 7006550690; 7006103457","Artificial intelligence mobile health platform for early detection of COVID-19 in quarantine subjects using a wearable biosensor: Protocol for a randomised controlled trial","2020","BMJ Open","10","7","e038555","","","93","10.1136/bmjopen-2020-038555","https://www.scopus.com/pages/publications/85088436093?origin=resultslist","Introduction There is an outbreak of COVID-19 worldwide. As there is no effective therapy or vaccine yet, rigorous implementation of traditional public health measures such as isolation and quarantine remains the most effective tool to control the outbreak. When an asymptomatic individual with COVID-19 exposure is being quarantined, it is necessary to perform temperature and symptom surveillance. As such surveillance is intermittent in nature and highly dependent on self-discipline, it has limited effectiveness. Advances in biosensor technologies made it possible to continuously monitor physiological parameters using wearable biosensors with a variety of form factors. Objective To explore the potential of using wearable biosensors to continuously monitor multidimensional physiological parameters for early detection of COVID-19 clinical progression. Method This randomised controlled open-labelled trial will involve 200-1000 asymptomatic subjects with close COVID-19 contact under mandatory quarantine at designated facilities in Hong Kong. Subjects will be randomised to receive a remote monitoring strategy (intervention group) or standard strategy (control group) in a 1:1 ratio during the 14 day-quarantine period. In addition to fever and symptom surveillance in the control group, subjects in the intervention group will wear wearable biosensors on their arms to continuously monitor skin temperature, respiratory rate, blood pressure, pulse rate, blood oxygen saturation and daily activities. These physiological parameters will be transferred in real time to a smartphone application called Biovitals Sentinel. These data will then be processed using a cloud-based multivariate physiology analytics engine called Biovitals to detect subtle physiological changes. The results will be displayed on a web-based dashboard for clinicians' review. The primary outcome is the time to diagnosis of COVID-19. Ethics and dissemination Ethical approval has been obtained from institutional review boards at the study sites. Results will be published in peer-reviewed journals. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85088436093"
"Sun B.; Feng Y.; Mo X.; Zheng P.; Wang Q.; Li P.; Peng P.; Liu X.; Chen Z.; Huang H.; Zhang F.; Luo W.; Niu X.; Hu P.; Wang L.; Peng H.; Huang Z.; Feng L.; Li F.; Zhang F.; Li F.; Zhong N.; Chen L.","Sun, Baoqing (57204452089); Feng, Ying (57194500759); Mo, Xiaoneng (57216491242); Zheng, Peiyan (56157778100); Wang, Qian (59150567500); Li, Pingchao (56111832900); Peng, Ping (59865154300); Liu, Xiaoqing (56369743100); Chen, Zhilong (56912540600); Huang, Huimin (56645118800); Zhang, Fan (57219037462); Luo, Wenting (56337101700); Niu, Xuefeng (56024945600); Hu, Peiyu (57202381817); Wang, Longyu (57211484854); Peng, Hui (57216764602); Huang, Zhifeng (57208746647); Feng, Liqiang (55683396600); Li, Feng (56218469300); Zhang, Fuchun (57189252300); Li, Fang (57214361905); Zhong, Nanshan (7102137996); Chen, Ling (57771661600)","57204452089; 57194500759; 57216491242; 56157778100; 59150567500; 56111832900; 59865154300; 56369743100; 56912540600; 56645118800; 57219037462; 56337101700; 56024945600; 57202381817; 57211484854; 57216764602; 57208746647; 55683396600; 56218469300; 57189252300; 57214361905; 7102137996; 57771661600","Kinetics of SARS-CoV-2 specific IgM and IgG responses in COVID-19 patients","2020","Emerging Microbes and Infections","9","1","","940","948","391","10.1080/22221751.2020.1762515","https://www.scopus.com/pages/publications/85084626096?origin=resultslist","The emerging COVID-19 caused by SARS-CoV-2 infection poses severe challenges to global public health. Serum antibody testing is becoming one of the critical methods for the diagnosis of COVID-19 patients. We investigated IgM and IgG responses against SARS-CoV-2 nucleocapsid (N) and spike (S) protein after symptom onset in the intensive care unit (ICU) and non-ICU patients. 130 blood samples from 38 COVID-19 patients were collected. The levels of IgM and IgG specific to N and S protein were detected by ELISA. A series of blood samples were collected along the disease course from the same patient, including 11 ICU patients and 27 non-ICU patients for longitudinal analysis. N and S specific IgM and IgG (N-IgM, N-IgG, S-IgM, S-IgG) in non-ICU patients increased after symptom onset. N-IgM and S-IgM in some non-ICU patients reached a peak in the second week, while N-IgG and S-IgG continued to increase in the third week. The combined detection of N and S specific IgM and IgG could identify up to 75% of SARS-CoV-2 infected patients in the first week. S-IgG was significantly higher in non-ICU patients than in ICU patients in the third week. In contrast, N-IgG was significantly higher in ICU patients than in non-ICU patients. The increase of S-IgG positively correlated with the decrease of C-reactive protein (CRP) in non-ICU patients. N and S specific IgM and IgG increased gradually after symptom onset and can be used for detection of SARS-CoV-2 infection. Analysis of the dynamics of S-IgG may help to predict prognosis. © 2020, © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group, on behalf of Shanghai Shangyixun Cultural Communication Co., Ltd.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084626096"
"Bonin A.; Escher R.; Breakey N.","Bonin, Annika (59948722900); Escher, Robert (12776662700); Breakey, Neal (57216373755)","59948722900; 12776662700; 57216373755","Evolution of adult respiratory syncytial virus detection: impact of testing strategy changes and pandemic-related measures at a Swiss regional hospital, 2016–2023","2025","Swiss Medical Weekly","155","5","4324","","","3","10.57187/s.4324","https://www.scopus.com/pages/publications/105008254086?origin=resultslist","BACKGROUND AND AIMS: Respiratory syncytial virus (RSV) is increasingly recognised as an important cause of respiratory illness in adults. We aimed to analyse clinical and epidemiological characteristics of patients with a positive reverse transcription–polymerase chain reaction (RT-PCR) test in a Swiss regional hospital between 2016 and 2023, including predisposing factors, patient demographics, treatment approaches and clinical outcomes. We also examined temporal patterns of RSV detection during periods of changes in testing strategies and public health measures. METHODS: In this retrospective cohort study at Spital Emmental, we analysed all consecutive in- and outpatients with respiratory symptoms who underwent nasopharyngeal RT-PCR testing following local syndrome-based testing protocols between December 2016 and February 2023. The testing methodology changed from trivalent (influenza A/B, RSV) to quadrivalent (SARS-CoV-2, influenza A/B, RSV) RT-PCR in March 2022, with simultaneous expansion of the testing criteria. Temporal patterns and incidence of positive RSV tests relating to periods of national COVID-19-related public health measures (13 March 2020 and 17 February 2022) were assessed. RESULTS: Of 8135 RT-PCR tests performed, 231 (2.8%) were positive for RSV. The mean age was 69 years, with complete clinical data available for 194 patients. Of these, 157 (81%) required hospitalisation, of whom 19 (12%) were classified as nosocomial infections. Of the hospitalised patients, 14 (9%) required intensive care, with an in-hospital mortality rate of 6%. Major comorbidities in inpatients included cardiac disease (54%), pulmonary disease (49%) and anaemia (43%). Testing patterns showed marked temporal variation: 1766 tests (22%) were performed pre-pandemic, 125 (1%) during pandemic measures and 6244 (77%) after pandemic restrictions were lifted. The introduction of quadrivalent testing in March 2022 led to an increase in testing volume, but lower positivity rates (6% pre- vs 2% post-implementation). CONCLUSIONS: Our results demonstrate RSV-associated resource use and mortality in adults. The temporal evolution of RSV detection in our cohort paralleled changes in testing practices, highlighting the complex interplay between diagnostic strategies and observed disease patterns in a regional hospital setting. Recently introduced preventive vaccination strategies may help to address the impact on patients and healthcare resource utilisation. © 2025 SMW supporting association. All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105008254086"
"Esposito S.; Neglia C.; Affanni P.; Colucci M.E.; Argentiero A.; Veronesi L.; Messina G.; Deolmi M.; Principi N.","Esposito, Susanna (57202226520); Neglia, Cosimo (54396121300); Affanni, Paola (6507370661); Colucci, Maria Eugenia (8333333000); Argentiero, Alberto (54395041600); Veronesi, Licia (15847093800); Messina, Giulia (57206498696); Deolmi, Michela (57204501397); Principi, Nicola (55336040900)","57202226520; 54396121300; 6507370661; 8333333000; 54395041600; 15847093800; 57206498696; 57204501397; 55336040900","Epidemiology of SARS-CoV-2 Infection Evaluated by Immunochromatographic Rapid Testing for the Determination of IgM and IgG Against SARS-CoV-2 in a Cohort of Mask Wearing Workers in the Metal-Mechanical Sector in an Area With a High Incidence of COVID-19","2021","Frontiers in Public Health","9","","628098","","","3","10.3389/fpubh.2021.628098","https://www.scopus.com/pages/publications/85109666582?origin=resultslist","Background: Although the diagnosis of new coronavirus 2019 (COVID-19) is made through the identification of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in respiratory secretions by means of molecular methods, a more accurate estimation of SARS-CoV-2 circulation can be obtained by seroprevalence studies. The main aim of this study was to evaluate the true epidemiology of SARS-CoV-2 infection among workers in the metal-mechanical sector who never stopped working during the pandemic period in an area with a high incidence of COVID-19 and to define whether and how they could continue the work without appreciable risks during a second wave. Methods: A total of 815 metal-mechanical workers who had never stopped working even during the pandemic period in three different factories in the Emilia-Romagna Region, Italy, and who had always used face masks during working hours, underwent a capillary blood rapid test for the determination of IgM and IgG against SARS-CoV-2 (COVID-19 IgG/IgM Rapid test, PrimaLab, Modena, Italy). In the event of a positive test, a nasopharyngeal was performed and tested for the presence of SARS-CoV-2. Results: The detection of serum IgG/IgM against SARS-CoV-2 was significantly more common among workers employed in Parma (21/345, 6.1%) than among those employed in Calerno (7/242, 2.9%) or in Spilamberto (3/228, 1.3%) (p <0.001). The analysis of the role of the different variables as predictors of seropositivity for IgG/IgM against SARS-CoV-2 revealed that the presence of specific antibodies was strictly associated with a previous history of COVID-19-like symptoms (odds ratio [OR] 3.95, 95% confidence interval [CI] 1.9–8.2) and household members with COVID-19-like symptoms (OR 2.20, 95% CI 1.04–4.82). Conclusion: This study shows that seropositivity to SARS-CoV-2 is low even among employees who did not interrupt their work during the lockdown phase in a region with a high incidence of COVID-19. The use of face masks appears effective in the avoidance of the transmission of SARS-CoV-2 in factories even in the presence of asymptomatic or mildly symptomatic workers, suggesting that work activities can continue if adequate infection control measures are used during a second wave. © Copyright © 2021 Esposito, Neglia, Affanni, Colucci, Argentiero, Veronesi, Messina, Deolmi, Principi and the Crown Study Group.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85109666582"
"Macartney K.; Quinn H.E.; Pillsbury A.J.; Koirala A.; Deng L.; Winkler N.; Katelaris A.L.; O'Sullivan M.V.N.; Dalton C.; Wood N.; Brogan D.; Glover C.; Dinsmore N.; Dunn A.; Jadhav A.; Joyce R.; Kandasamy R.; Meredith K.; Pelayo L.; Rost L.; Saravanos G.; Bag S.; Corbett S.; Staff M.; Alexander K.; Conaty S.; Leadbeater K.; Forssman B.; Kakar S.; Dwyer D.; Kok J.; Chant K.","Macartney, Kristine (12773235700); Quinn, Helen E (7004152646); Pillsbury, Alexis J (56608137800); Koirala, Archana (57204087581); Deng, Lucy (57194065056); Winkler, Noni (57218675807); Katelaris, Anthea L (49561460400); O'Sullivan, Matthew V N (57203195684); Dalton, Craig (7101873659); Wood, Nicholas (55253990100); Brogan, D. (57218667889); Glover, C. (57204276095); Dinsmore, N. (57218670324); Dunn, A. (57796220700); Jadhav, A. (57218674763); Joyce, R. (57874352100); Kandasamy, R. (56487380700); Meredith, K. (57218676470); Pelayo, L. (57218668355); Rost, L. (36446665900); Saravanos, G. (57200276205); Bag, S. (57194035624); Corbett, S. (7005952289); Staff, M. (6602672581); Alexander, K. (57200942667); Conaty, S. (6602891317); Leadbeater, K. (35772530900); Forssman, B. (22834153700); Kakar, S. (57211578345); Dwyer, D. (7201791996); Kok, J. (56814384200); Chant, K. (56051112900)","12773235700; 7004152646; 56608137800; 57204087581; 57194065056; 57218675807; 49561460400; 57203195684; 7101873659; 55253990100; 57218667889; 57204276095; 57218670324; 57796220700; 57218674763; 57874352100; 56487380700; 57218676470; 57218668355; 36446665900; 57200276205; 57194035624; 7005952289; 6602672581; 57200942667; 6602891317; 35772530900; 22834153700; 57211578345; 7201791996; 56814384200; 56051112900","Transmission of SARS-CoV-2 in Australian educational settings: a prospective cohort study","2020","The Lancet Child and Adolescent Health","4","11","","807","816","270","10.1016/S2352-4642(20)30251-0","https://www.scopus.com/pages/publications/85089987846?origin=resultslist","Background: School closures have occurred globally during the COVID-19 pandemic. However, empiric data on transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) among children and in educational settings are scarce. In Australia, most schools have remained open during the first epidemic wave, albeit with reduced student physical attendance at the epidemic peak. We examined SARS-CoV-2 transmission among children and staff in schools and early childhood education and care (ECEC) settings in the Australian state of New South Wales (NSW). Methods: Laboratory-confirmed paediatric (aged ≤18 years) and adult COVID-19 cases who attended a school or ECEC setting while considered infectious (defined as 24 h before symptom onset based on national guidelines during the study period) in NSW from Jan 25 to April 10, 2020, were investigated for onward transmission. All identified school and ECEC settings close contacts were required to home quarantine for 14 days, and were monitored and offered SARS-CoV-2 nucleic acid testing if symptomatic. Enhanced investigations in selected educational settings included nucleic acid testing and SARS-CoV-2 antibody testing in symptomatic and asymptomatic contacts. Secondary attack rates were calculated and compared with state-wide COVID-19 rates. Findings: 15 schools and ten ECEC settings had children (n=12) or adults (n=15) attend while infectious, with 1448 contacts monitored. Of these, 633 (43·7%) of 1448 had nucleic acid testing, or antibody testing, or both, with 18 secondary cases identified (attack rate 1·2%). Five secondary cases (three children; two adults) were identified (attack rate 0·5%; 5/914) in three schools. No secondary transmission occurred in nine of ten ECEC settings among 497 contacts. However, one outbreak in an ECEC setting involved transmission to six adults and seven children (attack rate 35·1%; 13/37). Across all settings, five (28·0%) of 18 secondary infections were asymptomatic (three infants [all aged 1 year], one adolescent [age 15 years], and one adult). Interpretation: SARS-CoV-2 transmission rates were low in NSW educational settings during the first COVID-19 epidemic wave, consistent with mild infrequent disease in the 1·8 million child population. With effective case-contact testing and epidemic management strategies and associated small numbers of attendances while infected, children and teachers did not contribute significantly to COVID-19 transmission via attendance in educational settings. These findings could be used to inform modelling and public health policy regarding school closures during the COVID-19 pandemic. Funding: NSW Government Department of Health. © 2020 Elsevier Ltd","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85089987846"
"Dariotis J.K.; Sloane S.M.; Smith R.L.","Dariotis, Jacinda K. (24482861300); Sloane, Stephanie M. (57199857807); Smith, Rebecca Lee (55948076600)","24482861300; 57199857807; 55948076600","“I took it off most of the time 'cause I felt comfortable”: unmasking, trusted others, and lessons learned from a coronavirus disease 2019 reinfection: a case report","2021","Journal of Medical Case Reports","15","1","557","","","2","10.1186/s13256-021-03033-8","https://www.scopus.com/pages/publications/85118940202?origin=resultslist","Background: Severe acute respiratory syndrome coronavirus 2 reinfection prevalence is unknown. It is essential to understand reinfection symptoms and, importantly, the lived experience. Case presentation: Case study design is the best method for understanding this contemporary pandemic and rare occurrence of reinfections. A 19-year-old White Non-Hispanic woman presented with presumed severe acute respiratory syndrome coronavirus 2 reinfection 6 weeks after initially mild symptomatic infection and consistent repeat negative results. Real-time reverse-transcription polymerase chain reaction from saliva was used for detection. Twice-weekly saliva samples were collected (a) before initial infection, (b) resumed on day 10 after initial infection until reinfection was detected, and (c) resumed on day 10 post-reinfection. A 1.5-hour virtual interview was conducted, transcribed, and independently analyzed by two researchers. Four themes emerged: (1) perceived invincibility or inevitability and subsequent immunity increases risk of transmission via inconsistent preventive behaviors; (2) normalcy desires, trusted others, and implicit social pressures to not wear masks and distance increase one’s coronavirus disease 2019 risk; (3) physical symptoms are more severe with reinfection compared with first infection; and (4) mental health sequelae (trauma and stigma) are more severe and enduring than physical health outcomes. Conclusions: Unmasked social interactions contradicting public health recommendations were rationalized by social circle members with heavy reliance on feeling asymptomatic, lacking a positive test (testing negative or not testing), or attributing symptoms to allergies. Stigma of testing positive and consequences of not conforming to social group behaviors is overwhelming and creates pressure to take risks. This case study provides insights and lessons learned relevant for public health messaging and continued preventive behaviors. © 2021, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85118940202"
"Sonkar C.; Kashyap D.; Varshney N.; Baral B.; Jha H.C.","Sonkar, Charu (57203501195); Kashyap, Dharmendra (57215590115); Varshney, Nidhi (57220872130); Baral, Budhadev (57215575418); Jha, Hem Chandra (35487831000)","57203501195; 57215590115; 57220872130; 57215575418; 35487831000","Impact of Gastrointestinal Symptoms in COVID-19: a Molecular Approach","2020","SN Comprehensive Clinical Medicine","2","12","","2658","2669","28","10.1007/s42399-020-00619-z","https://www.scopus.com/pages/publications/105015987386?origin=resultslist","The pandemic of novel coronavirus disease (COVID-19) caused by the Severe Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) creates an immense menace to public health worldwide. Currently, the World Health Organization (WHO) has recognized the novel coronavirus as the main cause of global pandemic. Patients infected with this virus generally show fever, nausea, and respiratory illness, while some patients also manifest gastrointestinal symptoms such as abdominal pain, vomiting, and diarrhea. Traces of SARS-CoV-2 RNA have been found in gastrointestinal cells. Further angiotensin converting enzyme 2 (ACE2) the known receptor for the virus is extensively expressed in these cells. This implies that gastrointestinal tract can be infected and can also present them as a replication site for SARS-CoV-2, but since this infection may lead to multiple organ failure, therefore identification of another receptor is a plausible choice. This review aims to provide comprehensive information about probable receptors such as sialic acid and CD147 which may facilitate the virus entry. Several potential targets are mentioned which can be used as a therapeutic approach for COVID-19 and associated GI disorders. The gut microbiomes are responsible for high levels of interferon-gamma which causes hyper-inflammation and exacerbates the severity of the disease. Briefly, this article highlights the gut microbiome’s relation and provides potential diagnostic approaches like RDT and LC-MS for sensitive and specific identification of viral proteins. Altogether, this article reviews epidemiology, probable receptors and put forward the tentative ideas of the therapeutic targets and diagnostic methods for COVID-19 with gastrointestinal aspect of disease. © 2020, Springer Nature Switzerland AG.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-105015987386"
"Yan T.; Meng H.; Parada-Cabaleiro E.; Liu S.; Song M.; Schuller B.W.","Yan, Tianhao (57203976086); Meng, Hao (35604210000); Parada-Cabaleiro, Emilia (57195938576); Liu, Shuo (57945945200); Song, Meishu (57213417793); Schuller, Björn W. (6603767415)","57203976086; 35604210000; 57195938576; 57945945200; 57213417793; 6603767415","Coughing-based recognition of covid-19 with spatial attentive ConvLSTM recurrent neural networks","2021","Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","5","","","3681","3685","4","10.21437/Interspeech.2021-630","https://www.scopus.com/pages/publications/85117827401?origin=resultslist","The rapid emergence of COVID-19 has become a major public health threat around the world. Although early detection is crucial to reduce its spread, the existing diagnostic methods are still insufficient in bringing the pandemic under control. Thus, more sophisticated systems, able to easily identify the infection from a larger variety of symptoms, such as cough, are urgently needed. Deep learning models can indeed convey numerous signal features relevant to fight against the disease; yet, the performance of state-of-the-art approaches is still severely restricted by the feature information loss typically due to the high number of layers. To mitigate this phenomenon, identifying the most relevant feature areas by drawing into attention mechanisms becomes essential. In this paper, we introduce Spatial Attentive ConvLSTM-RNN (SACRNN), a novel algorithm that is using Convolutional Long-Short Term Memory Recurrent Neural Networks with embedded attention that has the ability to identify the most valuable features. The promising results achieved by the fusion between the proposed model and a conventional Attentive Convolutional Recurrent Neural Network, on the automatic recognition of COVID-19 coughing (73.2 % of Unweighted Average Recall) show the great potential of the presented approach in developing efficient solutions to defeat the pandemic. © 2021 ISCA","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85117827401"
"Javaid M.; Haleem A.; Vaishya R.; Bahl S.; Suman R.; Vaish A.","Javaid, Mohd (57201798958); Haleem, Abid (25627604500); Vaishya, Raju (6602902951); Bahl, Shashi (57216509505); Suman, Rajiv (57191022246); Vaish, Abhishek (55954156400)","57201798958; 25627604500; 6602902951; 57216509505; 57191022246; 55954156400","Industry 4.0 technologies and their applications in fighting COVID-19 pandemic","2020","Diabetes and Metabolic Syndrome: Clinical Research and Reviews","14","4","","419","422","632","10.1016/j.dsx.2020.04.032","https://www.scopus.com/pages/publications/85083693442?origin=resultslist","Background and aims: COVID 19 (Coronavirus) pandemic has created surge demand for essential healthcare equipment, medicines along with the requirement for advance information technologies applications. Industry 4.0 is known as the fourth industrial revolution, which has the potential to fulfil customised requirement during COVID-19 crisis. This revolution has started with the applications of advance manufacturing and digital information technologies. Methods: A detailed review of the literature is done on the technologies of Industry 4.0 and their applications in the COVID-19 pandemic, using appropriate search words on the databases of PubMed, SCOPUS, Google Scholar and Research Gate. Results: We found several useful technologies of Industry 4.0 which help for proper control and management of COVID-19 pandemic and these have been discussed in this paper. The available technologies of Industry 4.0 could also help the detection and diagnosis of COVID-19 and other related problems and symptoms. Conclusions: Industry 4.0 can fulfil the requirements of customised face masks, gloves, and collect information for healthcare systems for proper controlling and treating of COVID-19 patients. We have discussed ten major technologies of Industry 4.0 which help to solve the problems of this virus. It is useful to provide day to day update of an infected patient, area-wise, age-wise and state-wise with proper surveillance systems. We also believe that the proper implementation of these technologies would help to enhance education and communication regarding public health. These Industry 4.0 technologies could provide a lot of innovative ideas and solution for fighting local and global medical emergencies. © 2020 Diabetes India","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85083693442"
